   cycle        dt        T[K]         rho          v_r        e_int       delta_u       rt_src        rt_de        rt_Fb        rt_Ft        rt_Em  rt_clip     T[i-4]     T[i-2]     T[i+2]     T[i+4]
  139039    0.4129  2.3336e+05  8.8034e-11   3.0236e+07   5.6145e+03   4.43711e+02  -6.3698e+06  -3.8798e+01   1.3762e+17   1.3809e+17   2.3113e+08    0.000  2.456e+05  2.422e+05   2.24e+05  2.176e+05
  139044    0.4224  2.0971e+05  9.8605e-11   2.9495e+07   5.8085e+03   6.77749e+02  -4.8555e+06  -4.1890e+01   8.4938e+16   8.5294e+16   1.6884e+08    0.000   2.19e+05  2.173e+05  2.008e+05  1.943e+05
  139049    0.4315  1.8799e+05  1.1211e-10   2.8868e+07   6.1033e+03   9.46511e+02  -3.6460e+06  -4.4812e+01   5.2631e+16   5.2898e+16   1.2454e+08    0.000  1.946e+05   1.94e+05  1.797e+05  1.734e+05
  139054    0.4368  1.6892e+05  1.2887e-10   2.8318e+07   6.5142e+03   1.17970e+03  -2.4445e+06  -4.2323e+01   3.2747e+16   3.2927e+16   9.4334e+07    0.000  1.728e+05  1.728e+05  1.619e+05  1.565e+05
  139059    0.4403  1.5426e+05  1.4837e-10   2.7797e+07   7.0651e+03   1.30014e+03  -9.4529e+05  -2.1411e+01   2.0107e+16   2.0177e+16   7.8095e+07    0.000   1.54e+05  1.548e+05  1.511e+05   1.49e+05
  139064    0.4475  1.4228e+05  1.6944e-10   2.7255e+07   7.6547e+03   1.22252e+03  -4.8404e+05  -1.3765e+01   1.2506e+16   1.2542e+16   6.7374e+07    0.000  1.381e+05  1.396e+05  1.437e+05  1.455e+05
  139069    0.4554  1.3195e+05  1.9029e-10   2.6666e+07   8.1949e+03   9.55946e+02  -2.3828e+05  -8.3962e+00   7.8128e+15   7.8303e+15   5.8206e+07    0.000  1.246e+05  1.269e+05  1.374e+05  1.424e+05
  139074    0.4630  1.2332e+05  2.0909e-10   2.6034e+07   8.6384e+03   5.83819e+02  -1.7489e+04  -7.4985e-01   4.8514e+15   4.8527e+15   5.0397e+07    0.000  1.131e+05  1.166e+05  1.317e+05  1.398e+05
  139079    0.4710  1.1589e+05  2.2461e-10   2.5374e+07   8.9443e+03   2.02106e+02   1.5813e+05   8.1962e+00   2.9628e+15   2.9512e+15   4.3126e+07    0.000  1.034e+05   1.08e+05  1.261e+05  1.365e+05
  139084    0.4791  1.0899e+05  2.3659e-10   2.4706e+07   9.0956e+03  -9.67951e+01   3.8937e+05   2.4681e+01   1.6941e+15   1.6656e+15   3.5816e+07    0.000  9.536e+04  1.006e+05  1.199e+05  1.315e+05
