=== cycle 138770  time 1742728.813024  dt 11.16660
   i        T[K]         rho          v_r         rt_de       delta_u
  58  1.7597e+03  8.9844e-12  -5.0406e+05  -3.59651e-03   4.62152e-01
=== cycle 138791  time 1742882.760159  dt 4.67518
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.4528e+03  6.3070e-10  -8.9749e+05   1.43279e-01  -1.87399e+01
  49  6.7914e+02  5.0519e-10  -8.6377e+05   5.79887e-02  -1.01412e+01
  50  7.1410e+02  3.7865e-10  -8.4894e+05   3.58672e-02  -6.92972e+00
  51  9.6619e+02  2.5779e-10  -8.6659e+05  -4.39994e-02  -4.80131e-01
  52  2.0955e+03  1.2805e-10  -1.1612e+06  -2.11752e-02   1.04703e+02
  53  2.0000e+02  1.2925e-11  -3.6057e+06   4.44791e-03  -6.23059e+01
  54  2.0000e+02  3.0129e-12  -3.1545e+06   1.09407e-03  -1.91789e+01
  55  2.0000e+02  1.3326e-11  -8.7211e+05   1.09842e-03   7.87075e-01
  56  1.5314e+03  1.6725e-11  -5.8107e+05  -4.36137e-03   1.19119e+00
  57  1.6853e+03  1.3902e-11  -5.1051e+05  -6.54457e-03   8.93729e-01
  58  1.7680e+03  9.1734e-12  -4.8973e+05  -4.23379e-03   6.15628e-01
=== cycle 138792  time 1742887.435335  dt 3.69710
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.3866e+03  6.2556e-10  -8.9446e+05   1.66699e-01  -1.95835e+01
  49  6.7307e+02  5.0118e-10  -8.6249e+05   7.78095e-02  -1.06641e+01
  50  7.4766e+02  3.7524e-10  -8.5056e+05   2.74789e-02  -6.27603e+00
  51  1.4537e+03  2.5432e-10  -8.7118e+05  -1.96624e-01   6.36595e+00
  52  2.4329e+03  1.1964e-10  -1.2877e+06  -2.13964e-02   1.12027e+02
  53  2.0000e+02  8.1970e-12  -4.5866e+06   3.39927e-03   5.76012e+01
  54  2.0000e+02  3.6581e-12  -2.4737e+06   1.83532e-03  -1.53600e+01
  55  2.3249e+02  1.4043e-11  -8.2805e+05   3.06505e-03   1.04911e+00
  56  1.5623e+03  1.7263e-11  -5.6404e+05  -2.79199e-03   1.34716e+00
  57  1.6987e+03  1.4246e-11  -4.9431e+05  -5.50645e-03   1.00281e+00
  58  1.7760e+03  9.3881e-12  -4.7425e+05  -3.60147e-03   6.89559e-01
=== cycle 138793  time 1742891.132435  dt 2.80900
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.3314e+03  6.2146e-10  -8.9223e+05   1.53178e+00  -1.38137e+01
  49  6.6183e+02  4.9822e-10  -8.6176e+05   1.19342e-01  -7.74233e+00
  50  7.9366e+02  3.7254e-10  -8.5235e+05   7.91185e-02  -4.40979e+00
  51  1.7173e+03  2.5112e-10  -8.7985e+05  -2.34796e+01  -1.34944e+01
